"Kelompok Suku Bangsa","Populasi","Persentase"
"Jawa","95.217.022","40,22"
"Sunda","36.701.670","15,5"
"Batak","8.466.969","3,58"
"Madura","7.179.356","3,03"
"Betawi","6.807.968","2,88"
"Minangkabau","6.462.713","2,73"
"Bugis","6.359.700","2,69"
"Melayu","5.365.399","2,27"
"Banten","4.657.784","1,97"
"Banjar","4.127.124","1,74"
"Aceh","4.091.451","1,73"
"Bali","3.946.416","1,67"
"Sasak","3.173.127","1,34"
"Dayak","3.009.494","1,27"
"Tionghoa","2.832.510","1,20"
"Makassar","2.672.590","1,13"
"Cirebon","1.877.514","0,79"
"Gorontalo","1.251.494","0,53"
"Minahasa","1.237.177","0,52"
"Nias","1.041.925","0,44"
